CustomerID,Age,Gender,Income,Location,MaritalStatus,PolicyID,PolicyType,Premium,CoverageDetails,IssuanceDate,ExpiryDate,ClaimAmount,ClaimType,ClaimDate,InteractionType,InteractionDate,ResponseTime,RenewalStatus,RenewalDate,RenewalPremium
8,,Female,133232.0,Lake Dylanchester,,8,Life,232.603,"Step indicate concern another source mouth purpose federal. For event course culture interview show. Explain take task add ability.
Start anyone high matter return leg statement.",2023-08-01,2021-03-10,951.968,Accident,2025-06-15,Mobile App,2025-04-11,58,,2025-07-12,456.938
9,29,Female,33755.1,,Single,9,Health,398.412,Beautiful stay those seem opportunity nearly bad. Activity population candidate field however another.,2024-05-03,2023-01-10,1197.4,Fire,2025-06-16,,2025-01-31,60,Not Renewed,2025-05-17,432.064
9,29,Female,33755.1,,Single,9,Health,398.412,Beautiful stay those seem opportunity nearly bad. Activity population candidate field however another.,2024-05-03,2023-01-10,1197.4,Fire,2025-06-16,Mobile App,2025-01-02,49,Not Renewed,2025-05-17,432.064
9,29,Female,33755.1,,Single,9,Health,398.412,Beautiful stay those seem opportunity nearly bad. Activity population candidate field however another.,2024-05-03,2023-01-10,1416.56,Health,2025-03-20,,2025-01-31,60,Not Renewed,2025-05-17,432.064
9,29,Female,33755.1,,Single,9,Health,398.412,Beautiful stay those seem opportunity nearly bad. Activity population candidate field however another.,2024-05-03,2023-01-10,1416.56,Health,2025-03-20,Mobile App,2025-01-02,49,Not Renewed,2025-05-17,432.064
9,29,Female,33755.1,,Single,9,Health,398.412,Beautiful stay those seem opportunity nearly bad. Activity population candidate field however another.,2024-05-03,2023-01-10,868.355,Theft,2025-06-05,,2025-01-31,60,Not Renewed,2025-05-17,432.064
9,29,Female,33755.1,,Single,9,Health,398.412,Beautiful stay those seem opportunity nearly bad. Activity population candidate field however another.,2024-05-03,2023-01-10,868.355,Theft,2025-06-05,Mobile App,2025-01-02,49,Not Renewed,2025-05-17,432.064
10,79,Female,115876.0,Ashleeville,Married,10,Life,669.423,Or increase American bed. Race able result while as describe down. Although control development debate remain nothing.,2020-11-22,2021-04-17,-537.958,Fire,2025-03-24,Website,2025-07-19,59,Not Renewed,2025-06-12,856.795
10,79,Female,115876.0,Ashleeville,Married,10,Life,669.423,Or increase American bed. Race able result while as describe down. Although control development debate remain nothing.,2020-11-22,2021-04-17,1240.04,Health,2025-06-06,Website,2025-07-19,59,Not Renewed,2025-06-12,856.795
10,79,Female,115876.0,Ashleeville,Married,10,Life,669.423,Or increase American bed. Race able result while as describe down. Although control development debate remain nothing.,2020-11-22,2021-04-17,1070.12,Accident,2025-06-05,Website,2025-07-19,59,Not Renewed,2025-06-12,856.795
11,80,,123717.0,,,11,Health,895.648,Way decide guess development degree decide whether. Picture town alone million course hold. Voice life key.,2022-04-25,2023-05-23,,,,,2025-04-04,19,,2025-07-19,755.608
11,80,,123717.0,,,11,Health,895.648,Way decide guess development degree decide whether. Picture town alone million course hold. Voice life key.,2022-04-25,2023-05-23,,,,Website,2025-02-06,8,,2025-07-19,755.608
11,80,,123717.0,,,11,Health,895.648,Way decide guess development degree decide whether. Picture town alone million course hold. Voice life key.,2022-04-25,2023-05-23,,,,Mobile App,2025-07-24,,,2025-07-19,755.608
11,80,,123717.0,,,11,Health,895.648,Way decide guess development degree decide whether. Picture town alone million course hold. Voice life key.,2022-04-25,2023-05-23,,,,Mobile App,2025-02-24,26,,2025-07-19,755.608
11,80,,123717.0,,,11,Health,895.648,Way decide guess development degree decide whether. Picture town alone million course hold. Voice life key.,2022-04-25,2023-05-23,,,,Website,2025-06-25,19,,2025-07-19,755.608
12,,,,,Divorced,12,Business,808.241,Key show term if. Lawyer camera environmental we when half. Whether face hand couple fast traditional key center.,2023-01-07,2022-08-05,914.751,Health,2025-06-02,Website,2025-05-30,7,Renewed,2025-07-26,928.58
12,,,,,Divorced,12,Business,808.241,Key show term if. Lawyer camera environmental we when half. Whether face hand couple fast traditional key center.,2023-01-07,2022-08-05,914.751,Health,2025-06-02,Website,2025-05-06,59,Renewed,2025-07-26,928.58
12,,,,,Divorced,12,Business,808.241,Key show term if. Lawyer camera environmental we when half. Whether face hand couple fast traditional key center.,2023-01-07,2022-08-05,914.751,Health,2025-06-02,,2025-02-10,31,Renewed,2025-07-26,928.58
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1456.72,Theft,2025-03-09,Mobile App,2025-03-27,,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1456.72,Theft,2025-03-09,Mobile App,2025-04-28,45,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1456.72,Theft,2025-03-09,,2025-05-16,6,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1456.72,Theft,2025-03-09,Mobile App,2025-07-09,32,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1259.96,Health,2025-01-24,Mobile App,2025-03-27,,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1259.96,Health,2025-01-24,Mobile App,2025-04-28,45,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1259.96,Health,2025-01-24,,2025-05-16,6,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,1259.96,Health,2025-01-24,Mobile App,2025-07-09,32,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,666.173,Health,2025-02-23,Mobile App,2025-03-27,,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,666.173,Health,2025-02-23,Mobile App,2025-04-28,45,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,666.173,Health,2025-02-23,,2025-05-16,6,Renewed,2025-05-04,902.74
13,22,Female,,Ashleyfort,,13,Business,684.658,Final listen parent heart rich may. Now story peace certainly. Others themselves all writer friend phone report.,2023-10-14,2023-01-05,666.173,Health,2025-02-23,Mobile App,2025-07-09,32,Renewed,2025-05-04,902.74
14,55,,32488.5,East Timothymouth,Single,14,Home,167.741,"Fire stuff will reach Congress.
Off yourself hour someone career owner. Consider media training budget along.",2024-05-10,2022-09-28,590.875,Theft,2025-04-11,,2025-04-09,4,Not Renewed,2025-04-07,452.816
14,55,,32488.5,East Timothymouth,Single,14,Home,167.741,"Fire stuff will reach Congress.
Off yourself hour someone career owner. Consider media training budget along.",2024-05-10,2022-09-28,590.875,Theft,2025-04-11,Call Center,2025-07-09,6,Not Renewed,2025-04-07,452.816
14,55,,32488.5,East Timothymouth,Single,14,Home,167.741,"Fire stuff will reach Congress.
Off yourself hour someone career owner. Consider media training budget along.",2024-05-10,2022-09-28,590.875,Theft,2025-04-11,Website,2025-05-31,47,Not Renewed,2025-04-07,452.816
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,936.417,Fire,2025-06-02,,2025-01-16,9,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,936.417,Fire,2025-06-02,Website,2025-01-22,30,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,936.417,Fire,2025-06-02,Call Center,2025-01-15,51,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,936.417,Fire,2025-06-02,Mobile App,2025-06-28,54,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,723.848,Fire,2025-03-19,,2025-01-16,9,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,723.848,Fire,2025-03-19,Website,2025-01-22,30,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,723.848,Fire,2025-03-19,Call Center,2025-01-15,51,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,723.848,Fire,2025-03-19,Mobile App,2025-06-28,54,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,694.055,Fire,2025-04-09,,2025-01-16,9,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,694.055,Fire,2025-04-09,Website,2025-01-22,30,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,694.055,Fire,2025-04-09,Call Center,2025-01-15,51,Pending,2025-03-09,344.972
15,76,Male,75508.7,West Waynetown,,15,Health,116.079,Occur arm foreign conference. Address beyond condition certain. Can common anything visit. Say kitchen expert.,2024-05-20,2025-01-16,694.055,Fire,2025-04-09,Mobile App,2025-06-28,54,Pending,2025-03-09,344.972
16,,Male,,Wallaceton,Married,16,Auto,204.64,Five officer participant yourself eye employee act. Congress face either main for. Late as with benefit challenge.,2025-07-21,2025-01-17,,,,Mobile App,2025-05-14,9,Not Renewed,2025-06-07,347.028
16,,Male,,Wallaceton,Married,16,Auto,204.64,Five officer participant yourself eye employee act. Congress face either main for. Late as with benefit challenge.,2025-07-21,2025-01-17,,,,Call Center,2025-06-04,36,Not Renewed,2025-06-07,347.028
16,,Male,,Wallaceton,Married,16,Auto,204.64,Five officer participant yourself eye employee act. Congress face either main for. Late as with benefit challenge.,2025-07-21,2025-01-17,,,,Website,2025-04-13,10,Not Renewed,2025-06-07,347.028
17,68,,60933.4,North Cynthia,Divorced,17,Home,335.584,"Social dream morning remain total how start or. Consider owner let guess.
Good hard he now play also. Low necessary somebody address character. Early rather meet wife dinner art.",2020-10-26,2025-03-16,1121.07,Fire,2025-01-04,,2025-02-02,48,Not Renewed,2025-06-25,837.522
17,68,,60933.4,North Cynthia,Divorced,17,Home,335.584,"Social dream morning remain total how start or. Consider owner let guess.
Good hard he now play also. Low necessary somebody address character. Early rather meet wife dinner art.",2020-10-26,2025-03-16,730.294,Theft,2025-04-03,,2025-02-02,48,Not Renewed,2025-06-25,837.522
17,68,,60933.4,North Cynthia,Divorced,17,Home,335.584,"Social dream morning remain total how start or. Consider owner let guess.
Good hard he now play also. Low necessary somebody address character. Early rather meet wife dinner art.",2020-10-26,2025-03-16,1037.65,Theft,2025-04-30,,2025-02-02,48,Not Renewed,2025-06-25,837.522
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,915.024,Health,2025-03-13,Website,2025-04-02,21,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,915.024,Health,2025-03-13,Call Center,2025-01-12,48,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,915.024,Health,2025-03-13,Mobile App,2025-01-03,20,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,915.024,Health,2025-03-13,Call Center,2025-06-24,,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,915.024,Health,2025-03-13,Call Center,2025-05-28,,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,624.951,Accident,2025-07-07,Website,2025-04-02,21,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,624.951,Accident,2025-07-07,Call Center,2025-01-12,48,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,624.951,Accident,2025-07-07,Mobile App,2025-01-03,20,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,624.951,Accident,2025-07-07,Call Center,2025-06-24,,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,624.951,Accident,2025-07-07,Call Center,2025-05-28,,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,990.885,Theft,2025-03-12,Website,2025-04-02,21,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,990.885,Theft,2025-03-12,Call Center,2025-01-12,48,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,990.885,Theft,2025-03-12,Mobile App,2025-01-03,20,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,990.885,Theft,2025-03-12,Call Center,2025-06-24,,Pending,2025-01-10,941.031
18,34,Female,113333.0,Patriciaberg,Single,18,Life,598.101,Bring against item. Explain wide structure rock growth.,2021-11-11,2025-05-26,990.885,Theft,2025-03-12,Call Center,2025-05-28,,Pending,2025-01-10,941.031
19,,Male,,Lake Taylor,Single,19,Home,219.633,"Various own degree likely. Recent chair talk memory probably guess.
Back vote really financial wall degree. Top network ever student fall director.",2024-05-24,2025-03-11,1329.33,Theft,2025-05-27,Website,2025-02-02,21,Renewed,2025-04-01,535.234
19,,Male,,Lake Taylor,Single,19,Home,219.633,"Various own degree likely. Recent chair talk memory probably guess.
Back vote really financial wall degree. Top network ever student fall director.",2024-05-24,2025-03-11,1317.25,Accident,2025-07-08,Website,2025-02-02,21,Renewed,2025-04-01,535.234
19,,Male,,Lake Taylor,Single,19,Home,219.633,"Various own degree likely. Recent chair talk memory probably guess.
Back vote really financial wall degree. Top network ever student fall director.",2024-05-24,2025-03-11,-149.577,Theft,2025-04-10,Website,2025-02-02,21,Renewed,2025-04-01,535.234
20,59,Male,,Donnastad,Single,20,Home,825.717,"Last little be soon college positive. Item project leader fly. Table quite maintain consumer nature.
Recognize ask animal support stop effort. Top mean subject every however keep work.",2020-01-11,2024-12-26,799.433,Accident,2025-02-18,Call Center,2025-07-22,18,Pending,2025-05-01,647.841
20,59,Male,,Donnastad,Single,20,Home,825.717,"Last little be soon college positive. Item project leader fly. Table quite maintain consumer nature.
Recognize ask animal support stop effort. Top mean subject every however keep work.",2020-01-11,2024-12-26,799.433,Accident,2025-02-18,,2025-06-02,20,Pending,2025-05-01,647.841
20,59,Male,,Donnastad,Single,20,Home,825.717,"Last little be soon college positive. Item project leader fly. Table quite maintain consumer nature.
Recognize ask animal support stop effort. Top mean subject every however keep work.",2020-01-11,2024-12-26,799.433,Accident,2025-02-18,Mobile App,2025-02-04,30,Pending,2025-05-01,647.841
21,,,,Ponceberg,Divorced,21,Auto,392.359,"Baby network face top Mr itself.
From thus art action it yeah everyone. Draw list goal suffer likely.",2022-06-15,2023-10-28,1431.9,Fire,2025-05-30,Mobile App,2025-02-20,6,Renewed,2025-06-25,273.643
21,,,,Ponceberg,Divorced,21,Auto,392.359,"Baby network face top Mr itself.
From thus art action it yeah everyone. Draw list goal suffer likely.",2022-06-15,2023-10-28,1431.9,Fire,2025-05-30,,2025-01-25,39,Renewed,2025-06-25,273.643
21,,,,Ponceberg,Divorced,21,Auto,392.359,"Baby network face top Mr itself.
From thus art action it yeah everyone. Draw list goal suffer likely.",2022-06-15,2023-10-28,912.892,Theft,2025-02-07,Mobile App,2025-02-20,6,Renewed,2025-06-25,273.643
21,,,,Ponceberg,Divorced,21,Auto,392.359,"Baby network face top Mr itself.
From thus art action it yeah everyone. Draw list goal suffer likely.",2022-06-15,2023-10-28,912.892,Theft,2025-02-07,,2025-01-25,39,Renewed,2025-06-25,273.643
21,,,,Ponceberg,Divorced,21,Auto,392.359,"Baby network face top Mr itself.
From thus art action it yeah everyone. Draw list goal suffer likely.",2022-06-15,2023-10-28,1030.21,Health,2025-03-21,Mobile App,2025-02-20,6,Renewed,2025-06-25,273.643
21,,,,Ponceberg,Divorced,21,Auto,392.359,"Baby network face top Mr itself.
From thus art action it yeah everyone. Draw list goal suffer likely.",2022-06-15,2023-10-28,1030.21,Health,2025-03-21,,2025-01-25,39,Renewed,2025-06-25,273.643
22,,Female,,North Don,,22,Business,868.398,"Speech true mouth. Charge game return full newspaper financial number. Herself particularly as turn.
Thing degree or major prove deep partner question. Region save indicate man peace.",2023-03-06,2025-05-28,996.189,Accident,2025-05-13,,2025-03-07,49,,2025-07-08,743.717
22,,Female,,North Don,,22,Business,868.398,"Speech true mouth. Charge game return full newspaper financial number. Herself particularly as turn.
Thing degree or major prove deep partner question. Region save indicate man peace.",2023-03-06,2025-05-28,996.189,Accident,2025-05-13,Mobile App,2025-07-05,20,,2025-07-08,743.717
22,,Female,,North Don,,22,Business,868.398,"Speech true mouth. Charge game return full newspaper financial number. Herself particularly as turn.
Thing degree or major prove deep partner question. Region save indicate man peace.",2023-03-06,2025-05-28,996.189,Accident,2025-05-13,Mobile App,2025-07-06,7,,2025-07-08,743.717
22,,Female,,North Don,,22,Business,868.398,"Speech true mouth. Charge game return full newspaper financial number. Herself particularly as turn.
Thing degree or major prove deep partner question. Region save indicate man peace.",2023-03-06,2025-05-28,1076.12,Accident,2025-02-08,,2025-03-07,49,,2025-07-08,743.717
